Symbol,Average price,Average volume,Average no. of trades,Average deliverable qty,fromDate,toDate,NoOfDays
EQUITAS,59,9156869,30785,2309514,2021-03-05,2020-03-05,365
ERIS,509,157878,7249,81480,2021-03-05,2020-03-05,365
EROSMEDIA,20,603600,1779,346243,2021-03-05,2020-03-05,365
ESABINDIA,1438,14137,1255,8240,2021-03-05,2020-03-05,365
ESCORTS,1113,2436207,71361,369962,2021-03-05,2020-03-05,365
ESSARSHPNG,8,70117,282,43916,2021-03-05,2020-03-05,365
ESTER,76,347808,3874,165931,2021-03-05,2020-03-05,365
EUROTEXIND,8,932,4,912,2021-03-04,2020-03-05,364
EVEREADY,154,689669,6263,357768,2021-03-05,2020-05-27,282
EVERESTIND,230,114405,2966,45736,2021-03-05,2020-03-05,365
EXCEL,1,33808,32,28199,2021-03-05,2020-03-05,365
EXCELINDUS,774,32407,2756,14219,2021-03-05,2020-03-05,365
EXIDEIND,168,4073800,33216,1246029,2021-03-05,2020-03-05,365
EXPLEOSOL,380,27859,1205,16790,2021-03-05,2020-03-05,365
FACT,52,627381,4462,161883,2021-03-05,2020-03-05,365
FAIRCHEMOR,620,32983,792,23115,2021-03-05,2021-01-08,56
FCL,37,561921,2736,282964,2021-03-05,2020-03-05,365
FCONSUMER,9,10123064,8761,5122611,2021-03-05,2020-03-05,365
FDC,294,415621,9439,179716,2021-03-05,2020-03-05,365
FEDERALBNK,58,34571724,67703,8717521,2021-03-05,2020-03-05,365
FEL,12,2113130,2583,1231417,2021-03-05,2020-03-05,365
FELDVR,14,101473,303,67292,2021-03-05,2020-03-05,365
FIEMIND,464,63242,3096,22294,2021-03-05,2020-03-05,365
FILATEX,35,584352,1849,388796,2021-03-05,2020-03-05,365
FINCABLES,293,218041,6813,114773,2021-03-05,2020-03-05,365
FINEORG,2308,39261,5664,16540,2021-03-05,2020-03-05,365
FINPIPE,519,90658,4372,53427,2021-03-05,2020-03-05,365
FLFL,117,478382,4093,231639,2021-03-05,2020-03-05,365
FLUOROCHEM,460,76761,2529,44413,2021-03-05,2020-03-05,365
FMGOETZE,348,28714,865,13229,2021-03-05,2020-03-05,365
FMNL,19,74956,369,46759,2021-03-05,2020-03-05,365
FORCEMOT,1063,64804,4758,18005,2021-03-05,2020-03-05,365
FORTIS,138,2284854,17089,1240909,2021-03-05,2020-03-05,365
FOSECOIND,1154,1996,320,1105,2021-03-05,2020-03-05,365
FRETAIL,94,4552189,26110,2202701,2021-03-05,2020-03-05,365
FSC,125,183437,2169,99025,2021-03-05,2020-03-05,365
FSL,62,3630489,20185,1508755,2021-03-05,2020-03-05,365
G5,48,5971,22,5251,2021-03-05,2020-12-16,79
GABRIEL,96,282380,3944,124673,2021-03-05,2020-03-05,365
GAEL,137,236919,3422,108787,2021-03-05,2020-03-05,365
GAIL,102,19398920,79238,5622202,2021-03-05,2020-03-05,365
GAL,2,35952,67,29547,2021-03-05,2020-03-05,365
GALAXYSURF,1720,32118,4165,15410,2021-03-05,2020-03-05,365
GALLANTT,32,39768,473,19422,2021-03-05,2020-03-05,365
GALLISPAT,29,40202,325,22147,2021-03-05,2020-03-05,365
GAMMNINFRA,1,2209520,1500,1526591,2021-03-05,2020-03-05,365
GANDHITUBE,214,8820,435,4714,2021-03-05,2020-03-05,365
GANECOS,290,35633,1032,23334,2021-03-05,2020-03-05,365
GANESHHOUC,29,36332,239,26420,2021-03-05,2020-03-05,365
GANGESSECU,40,8028,116,5122,2021-03-05,2020-03-05,365
GARFIBRES,1801,19785,2766,11369,2021-03-05,2020-03-05,365
GATI,62,825978,6005,371734,2021-03-05,2020-03-05,365
GAYAPROJ,26,764223,2088,512394,2021-03-05,2020-03-05,365
GBGLOBAL,6,2520,23,2286,2021-03-05,2020-03-11,359
GEECEE,71,14675,437,7802,2021-03-05,2020-03-05,365
GEEKAYWIRE,67,7276,78,5818,2021-03-05,2020-03-06,364
GENCON,57,34736,386,18985,2021-03-05,2021-02-16,17
GENUSPAPER,5,332344,402,209749,2021-03-05,2020-03-05,365
GENUSPOWER,26,332220,1414,194409,2021-03-05,2020-03-05,365
GEOJITFSL,38,548537,2776,291737,2021-03-05,2020-03-05,365
GEPIL,392,129740,4052,63078,2021-03-05,2020-03-05,365
GESHIP,240,311786,9113,167408,2021-03-05,2020-03-05,365
GET&D,96,178072,2452,101084,2021-03-05,2020-03-05,365
GFLLIMITED,89,70185,1040,44434,2021-03-05,2020-03-05,365
GFSTEELS,2,3386,11,3190,2021-03-04,2020-04-13,325
GHCL,157,338810,5189,173100,2021-03-05,2020-03-05,365
GICHSGFIN,97,954774,8534,281962,2021-03-05,2020-03-05,365
GICRE,139,570235,8256,229542,2021-03-05,2020-03-05,365
GILLANDERS,33,9834,83,6745,2021-03-05,2020-03-05,365
GILLETTE,5352,12070,2310,7073,2021-03-05,2020-03-05,365
GINNIFILA,13,91021,281,63821,2021-03-05,2020-03-05,365
GIPCL,70,356418,3041,150432,2021-03-05,2020-03-05,365
GISOLUTION,2,3661,7,3557,2021-03-05,2020-03-19,351
GKWLIMITED,486,667,132,337,2021-03-05,2020-03-05,365
GLAXO,1474,68060,5674,39682,2021-03-05,2020-03-05,365
GLENMARK,433,4530183,64641,900210,2021-03-05,2020-03-05,365
GLFL,2,15248,38,12279,2021-03-05,2020-03-05,365
GLOBAL,58,19926,140,16747,2021-03-05,2020-12-07,88
GLOBOFFS,6,16848,57,12273,2021-03-05,2020-03-05,365
GLOBUSSPR,221,215046,4648,90135,2021-03-05,2020-03-05,365
GMBREW,393,76081,2805,21831,2021-03-05,2020-03-05,365
GMDCLTD,45,1630569,7386,687695,2021-03-05,2020-03-05,365
GMMPFAUDLR,3945,68250,11115,28001,2021-03-05,2020-03-05,365
GMRINFRA,22,18496187,28899,5859934,2021-03-05,2020-03-05,365
GNA,237,119735,3473,42969,2021-03-05,2020-03-05,365
GNFC,186,1280800,14544,433143,2021-03-05,2020-03-05,365
GOACARBON,221,82274,2650,25636,2021-03-05,2020-03-05,365
GOCLCORP,185,20695,657,11234,2021-03-05,2020-03-05,365
GODFRYPHLP,946,81277,5358,27351,2021-03-05,2020-03-05,365
GODHA,39,3321,32,2393,2021-03-05,2020-12-24,71
GODREJAGRO,467,188448,7336,82304,2021-03-05,2020-03-05,365
GODREJCP,666,1749100,43253,762709,2021-03-05,2020-03-05,365
GODREJIND,381,268282,10809,140536,2021-03-05,2020-03-05,365
GODREJPROP,987,971799,36331,216425,2021-03-05,2020-03-05,365
GOKEX,59,256323,2228,118602,2021-03-05,2020-03-05,365
GOKUL,15,79043,379,46887,2021-03-05,2020-03-05,365
GOKULAGRO,15,79043,379,46887,2021-03-05,2020-03-05,365
GOLDBEES,43,5549120,12791,3949559,2021-03-05,2020-03-05,365
GOLDENTOBC,29,15537,226,9262,2021-03-05,2020-03-05,365
GOLDIAM,146,93696,2138,41481,2021-03-05,2020-03-05,365
GOLDSHARE,4413,2254,524,1461,2021-03-05,2020-03-05,365
GOODLUCK,44,152832,1471,62152,2021-03-05,2020-03-05,365
GOODYEAR,911,32240,2619,17411,2021-03-05,2020-10-05,151
GPIL,295,130846,2904,73920,2021-03-05,2020-03-05,365
GPPL,80,635028,7008,378282,2021-03-05,2020-03-05,365
GPTINFRA,29,77461,483,42243,2021-03-05,2020-03-05,365
GRANULES,291,2941855,39194,905745,2021-03-05,2020-03-05,365
GRAPHITE,229,1160138,19743,380947,2021-03-05,2020-03-05,365
GRASIM,754,2685590,50307,759724,2021-03-05,2020-03-05,365
GRAVITA,52,259261,2076,118281,2021-03-05,2020-03-05,365
GREAVESCOT,84,1317637,10853,543946,2021-03-05,2020-03-05,365
GREENLAM,735,8914,536,6730,2021-03-05,2020-03-05,365
GREENPANEL,77,148772,1358,112616,2021-03-05,2020-03-05,365
GREENPLY,101,545542,5624,272720,2021-03-05,2020-03-05,365
GRINDWELL,580,41402,3023,24874,2021-03-05,2020-03-05,365
GROBTEA,543,929,120,532,2021-03-05,2020-03-05,365
GRPLTD,727,1228,165,616,2021-03-05,2020-03-05,365
GRSE,185,317982,5799,119560,2021-03-05,2020-03-05,365
GSCLCEMENT,29,377324,1729,178154,2021-03-05,2020-03-05,365
GSFC,62,1538531,7924,582137,2021-03-05,2020-03-05,365
GSPL,207,975984,20352,624632,2021-03-05,2020-03-05,365
GSS,33,193739,1157,94047,2021-03-05,2020-03-05,365
GTL,4,154553,334,106732,2021-03-05,2020-03-05,365
GTLINFRA,1,16087640,2308,10201448,2021-03-05,2020-03-05,365
GTNIND,8,5398,37,4310,2021-03-05,2020-03-05,365
GTNTEX,6,3985,16,3230,2021-03-05,2020-03-05,365
GTPL,93,171784,2564,82577,2021-03-05,2020-03-05,365
GUFICBIO,90,247596,3060,107722,2021-03-05,2020-03-05,365
GUJALKALI,324,166685,4638,68041,2021-03-05,2020-03-05,365
GUJAPOLLO,187,17829,674,8011,2021-03-05,2020-03-05,365
GUJGASLTD,317,1011670,26164,466797,2021-03-05,2020-03-05,365
GULFOILLUB,654,31349,2006,18733,2021-03-05,2020-03-05,365
GULFPETRO,41,68868,720,34638,2021-03-05,2020-03-05,365
GULPOLY,57,81995,906,49769,2021-03-05,2020-03-05,365
HAL,799,640756,26918,172830,2021-03-05,2020-03-05,365
HAPPSTMNDS,362,3209500,55889,864452,2021-03-05,2020-09-17,169
HARITASEAT,435,10984,537,6308,2021-03-05,2020-03-05,365
HARRMALAYA,90,165477,2722,55022,2021-03-05,2020-03-05,365
HATHWAY,28,2230325,7374,815058,2021-03-05,2020-03-05,365
HATSUN,700,50018,3152,20452,2021-03-05,2020-03-05,365
HAVELLS,722,2534003,53761,662148,2021-03-05,2020-03-05,365
HBANKETF,286,9217,221,7006,2021-03-05,2020-08-28,189
HBLPOWER,21,804566,2857,363114,2021-03-05,2020-03-05,365
HCC,6,4785897,3569,2547998,2021-03-05,2020-03-05,365
HCG,125,213240,2129,143906,2021-03-05,2020-03-05,365
HCL-INSYS,8,468691,1062,321883,2021-03-05,2020-03-05,365
HCLTECH,728,7407633,136393,2732658,2021-03-05,2020-03-05,365
HDFC,2029,5675233,193225,2839174,2021-03-05,2020-03-05,365
HDFCAMC,2575,402308,36555,199578,2021-03-05,2020-03-05,365
HDFCBANK,1177,14804508,279924,6244924,2021-03-05,2020-03-05,365
HDFCLIFE,589,4338690,90772,2105994,2021-03-05,2020-03-05,365
HDFCMFGETF,4182,97599,1239,75386,2021-03-05,2020-03-05,365
HDFCNIFETF,1153,3755,187,2933,2021-03-05,2020-03-05,365
HDFCSENETF,3961,585,95,430,2021-03-05,2020-03-05,365
HEG,846,558361,23703,111042,2021-03-05,2020-03-05,365
HEIDELBERG,188,501270,8797,205443,2021-03-05,2020-03-05,365
HERCULES,91,177722,2270,52387,2021-03-05,2020-03-05,365
HERITGFOOD,289,109039,3299,57972,2021-03-05,2020-03-05,365
HEROMOTOCO,2761,1607805,85536,434713,2021-03-05,2020-03-05,365
HESTERBIO,1486,12725,1330,6218,2021-03-05,2020-03-05,365
HFCL,17,7384093,8911,3262333,2021-03-05,2020-03-05,365
HGINFRA,202,74406,2451,38257,2021-03-05,2020-03-05,365
HGS,784,21825,1702,11717,2021-03-05,2020-03-05,365
HIKAL,145,847780,9447,299612,2021-03-05,2020-03-05,365
HIL,1599,32655,3165,14047,2021-03-05,2020-03-05,365
HILTON,10,15157,86,11354,2021-03-05,2020-03-05,365
HIMATSEIDE,97,521942,5453,207346,2021-03-05,2020-03-05,365
HINDALCO,186,17532086,102913,4307352,2021-03-05,2020-03-05,365
HINDCOMPOS,195,12665,584,5330,2021-03-05,2020-03-05,365
HINDCOPPER,43,2804930,11629,901896,2021-03-05,2020-03-05,365
HINDNATGLS,29,23141,208,17146,2021-03-05,2020-03-05,365
HINDOILEXP,69,569284,4387,292372,2021-03-05,2020-03-05,365
HINDPETRO,208,7996741,65512,2775662,2021-03-05,2020-03-05,365
HINDUNILVR,2186,3854918,141212,2174945,2021-03-05,2020-03-05,365
HINDZINC,216,1502994,24273,637343,2021-03-05,2020-03-05,365
HIRECT,133,37826,779,19094,2021-03-05,2020-03-05,365
HISARMETAL,74,36922,548,14584,2021-03-05,2020-03-05,365
HITECH,145,35946,508,18505,2021-03-05,2020-03-05,365
HITECHCORP,89,9313,186,5642,2021-03-05,2020-03-05,365
HITECHGEAR,119,7658,169,5676,2021-03-05,2020-03-05,365
HLEGLAS,2152,13068,1522,8456,2021-03-05,2021-02-22,11
HLVLTD,5,283995,375,190416,2021-03-05,2020-03-05,365
HMVL,50,52739,550,33697,2021-03-05,2020-03-05,365
HNDFDS,918,15721,1517,8507,2021-03-05,2020-03-05,365
HNGSNGBEES,345,1049,62,858,2021-03-05,2020-03-05,365
HONAUT,31965,5593,2732,2769,2021-03-05,2020-03-05,365
HONDAPOWER,982,10132,961,4937,2021-03-05,2020-03-05,365
HOTELRUGBY,1,5971,12,5539,2021-03-05,2020-03-19,351
HOVS,37,10128,149,7222,2021-03-05,2020-03-05,365
HPL,33,173321,1272,99306,2021-03-05,2020-03-05,365
HSCL,47,3861843,13078,1423235,2021-03-05,2020-03-05,365
HSIL,82,422723,3846,214377,2021-03-05,2020-03-05,365
HTMEDIA,15,218310,676,137753,2021-03-05,2020-03-05,365
HUDCO,33,2657094,8273,895483,2021-03-05,2020-03-05,365
HUHTAMAKI,259,152027,3339,79931,2021-03-05,2020-03-05,365
IBMFNIFTY,122,927,69,444,2021-03-05,2020-03-05,365
IBREALEST,61,4421272,17417,1857392,2021-03-05,2020-03-05,365
IBULHSGFIN,179,25533180,171531,3975723,2021-03-05,2020-03-05,365
ICEMAKE,84,32160,388,22531,2021-03-05,2020-10-12,144
ICICI500,156,28674,129,25016,2021-03-05,2020-03-05,365
ICICIALPLV,130,5607,63,3615,2021-03-05,2020-08-18,199
ICICIB22,28,559787,9079,427184,2021-03-05,2020-03-05,365
ICICIBANK,424,37243425,327511,13223092,2021-03-05,2020-03-05,365
ICICIBANKN,249,32355,491,19473,2021-03-05,2020-03-05,365
ICICIBANKP,137,45886,487,31290,2021-03-05,2020-03-05,365
ICICIGI,1313,771296,42765,498175,2021-03-05,2020-03-05,365
ICICIGOLD,44,516668,2174,448925,2021-03-05,2020-03-05,365
ICICILIQ,1000,16863,47,13871,2021-03-05,2020-03-05,365
ICICILOVOL,97,73619,277,65031,2021-03-05,2020-03-05,365
ICICIM150,66,39544,62,35940,2021-03-05,2020-03-05,365
ICICIMCAP,65,22465,157,16433,2021-03-05,2020-03-05,365
ICICINF100,129,7597,152,5545,2021-03-05,2020-03-05,365
ICICINIFTY,123,343917,5089,268638,2021-03-05,2020-03-05,365
ICICINV20,60,11065,373,7344,2021-03-05,2020-03-05,365
ICICINXT50,28,80901,235,72157,2021-03-05,2020-03-05,365
ICICIPRULI,430,2688730,53744,1096187,2021-03-05,2020-03-05,365
ICICISENSX,426,2656,132,1767,2021-03-05,2020-03-05,365
ICICITECH,226,179964,300,169054,2021-03-05,2020-08-20,197
ICIL,97,73619,277,65031,2021-03-05,2020-03-05,365
ICRA,2633,3784,555,2747,2021-03-05,2020-03-05,365
IDBI,33,6657095,13929,2569181,2021-03-05,2020-03-05,365
IDBIGOLD,4528,301,66,223,2021-03-05,2020-03-05,365
IDEA,9,440818424,228514,125192339,2021-03-05,2020-03-05,365
IDFC,29,9956448,21081,4714570,2021-03-05,2020-03-05,365
IDFCFIRSTB,33,43763252,75965,9948403,2021-03-05,2020-03-05,365
IDFNIFTYET,124,432,28,296,2021-03-05,2020-03-05,365
IEX,197,1203415,24346,679756,2021-03-05,2020-03-05,365
IFBAGRO,346,17023,960,7098,2021-03-05,2020-03-05,365
IFBIND,674,101667,4998,39188,2021-03-05,2020-03-05,365
IFCI,7,4810203,65308,2147041,2021-03-05,2020-03-05,365
IFGLEXPOR,159,20329,626,11214,2021-03-05,2020-03-05,365
IGARASHI,281,150926,4577,52050,2021-03-05,2020-03-05,365
IGL,448,3772876,65450,1246107,2021-03-05,2020-03-05,365
IGPL,265,61876,1938,35568,2021-03-05,2020-03-05,365
IIFL,103,901943,7594,391719,2021-03-05,2020-03-05,365
IIFLSEC,41,994644,3645,542238,2021-03-05,2020-03-05,365
IIFLWAM,1006,35977,2129,28373,2021-03-05,2020-03-05,365
IITL,59,9987,58,8624,2021-03-05,2020-05-27,282
IMAGICAA,4,170616,309,125566,2021-03-05,2020-03-05,365
IMFA,238,39770,1611,22519,2021-03-05,2020-03-05,365
IMPAL,539,3189,218,2130,2021-03-05,2020-03-05,365
INDBANK,9,178127,474,90520,2021-03-05,2020-03-05,365
INDHOTEL,99,3239397,21230,1714851,2021-03-05,2020-03-05,365
INDIACEM,129,2957902,20239,929917,2021-03-05,2020-03-05,365
INDIAGLYCO,302,268985,6593,84316,2021-03-05,2020-03-05,365
INDIAMART,4369,145270,21257,63861,2021-03-05,2020-03-05,365
INDIANB,69,3640395,17268,1008904,2021-03-05,2020-03-05,365
INDIANCARD,103,3497,116,1903,2021-03-05,2020-03-05,365
INDIANHUME,170,107899,2512,38574,2021-03-05,2020-03-05,365
INDIGO,1278,2323874,71671,456614,2021-03-05,2020-03-05,365
INDIGOPNTS,2638,820355,69992,310934,2021-03-05,2021-02-02,31
INDLMETER,15,4772,40,3360,2021-03-05,2020-03-05,365
INDNIPPON,312,26816,1025,13963,2021-03-05,2020-03-05,365
INDOCO,249,186207,4573,101734,2021-03-05,2020-03-05,365
INDORAMA,22,83501,277,66855,2021-03-05,2020-03-05,365
INDOSTAR,289,110578,2082,74741,2021-03-05,2020-03-05,365
INDOTECH,94,15966,371,6513,2021-03-05,2020-03-05,365
INDRAMEDCO,49,397140,2646,170072,2021-03-05,2020-03-05,365
INDSWFTLAB,49,92520,580,63126,2021-03-05,2020-03-05,365
INDUSINDBK,657,21704439,302347,3596261,2021-03-05,2020-03-05,365
INDUSTOWER,209,10575320,79718,2894002,2021-03-05,2020-03-05,365
INEOSSTYRO,674,36036,1535,20574,2021-03-05,2020-03-05,365
INFIBEAM,70,1460021,5548,931018,2021-03-05,2020-03-05,365
INFOBEAN,130,33472,603,22207,2021-03-05,2020-05-27,282
INFRABEES,333,2147,57,1714,2021-03-05,2020-03-05,365
INFY,966,11043119,206052,4939899,2021-03-05,2020-03-05,365
INGERRAND,639,49964,2398,19937,2021-03-05,2020-03-05,365
INOXLEISUR,270,861606,20862,338504,2021-03-05,2020-03-05,365
INOXWIND,43,199420,1485,116873,2021-03-05,2020-03-05,365
INSECTICID,440,68298,2901,27554,2021-03-05,2020-03-05,365
INSPIRISYS,28,18946,168,12682,2021-03-05,2020-03-05,365
INTELLECT,204,288122,4904,168135,2021-03-05,2020-03-05,365
INTENTECH,31,41975,273,28802,2021-03-05,2020-03-05,365
INVENTURE,17,50907,380,25700,2021-03-05,2020-03-05,365
IOB,10,6426923,6290,2374885,2021-03-05,2020-03-05,365
IOC,87,22612125,70834,6635943,2021-03-05,2020-03-05,365
IOLCP,592,1144207,29262,297084,2021-03-05,2020-03-05,365
IPCALAB,1879,467248,40889,245660,2021-03-05,2020-03-05,365
IRCON,109,1802638,14456,633907,2021-03-05,2020-03-05,365
IRCTC,1385,1423608,65330,396273,2021-03-05,2020-03-05,365
IRFC,25,48052802,81180,24400814,2021-03-05,2021-01-29,35
IRISDOREME,111,76978,917,40830,2021-03-05,2021-02-22,11
ISEC,430,607839,17028,313793,2021-03-05,2020-03-05,365
ISFT,63,10793,162,8420,2021-03-05,2020-03-05,365
ISMTLTD,7,149373,228,107461,2021-03-05,2020-03-05,365
ITC,190,32709971,182700,13815750,2021-03-05,2020-03-05,365
ITDC,232,106592,3002,28951,2021-03-05,2020-03-05,365
ITDCEM,51,737028,5129,335014,2021-03-05,2020-03-05,365
ITI,113,1646781,14243,386874,2021-03-05,2020-03-05,365
IVC,3,180555,236,124353,2021-03-05,2020-03-05,365
IVZINGOLD,4453,109,25,88,2021-03-05,2020-03-05,365
IVZINNIFTY,1270,58,9,39,2021-03-05,2020-03-05,365
IZMO,34,27881,289,19045,2021-03-05,2020-03-05,365
J&KBANK,19,3975273,7495,1999441,2021-03-05,2020-03-05,365
JAGRAN,42,577294,3613,304447,2021-03-05,2020-03-05,365
